epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,153.75,0.73039,0.79588,1.02937,0.57683,0.72408,0.64083,0.54998,0.72349,0.93358,1.0718,0.00040707,0.00040707,0.00040707
98,155.413,0.74043,0.77714,1.02267,0.77579,0.61755,0.66864,0.57351,0.71126,0.93855,1.07261,0.000399738,0.000399738,0.000399738
99,157.04,0.75545,0.80382,1.06005,0.70569,0.69171,0.69623,0.59639,0.71959,0.94136,1.06901,0.000392405,0.000392405,0.000392405
100,158.725,0.76377,0.78823,1.05994,0.63378,0.70107,0.69447,0.60267,0.70112,0.93716,1.07016,0.000385073,0.000385073,0.000385073
101,160.395,0.7349,0.78009,1.04183,0.81348,0.63369,0.71016,0.60839,0.74419,0.93646,1.07804,0.00037774,0.00037774,0.00037774
102,161.985,0.75094,0.79979,1.05472,0.64109,0.69257,0.7034,0.59929,0.71544,0.91705,1.06708,0.000370407,0.000370407,0.000370407
103,163.633,0.73424,0.7749,1.02233,0.73072,0.66688,0.72255,0.62029,0.72059,0.91627,1.07304,0.000363075,0.000363075,0.000363075
104,165.294,0.72259,0.78646,1.03882,0.76074,0.65058,0.71429,0.61857,0.70165,0.89153,1.05485,0.000355742,0.000355742,0.000355742
105,166.925,0.72066,0.79204,1.02807,0.58247,0.73152,0.71914,0.62238,0.68632,0.88621,1.05336,0.00034841,0.00034841,0.00034841
106,168.534,0.75,0.77152,1.04889,0.56539,0.74366,0.73291,0.63638,0.67164,0.90626,1.04485,0.000341077,0.000341077,0.000341077
107,170.189,0.75967,0.79221,1.06184,0.68939,0.68494,0.7198,0.63273,0.68056,0.90809,1.05028,0.000333744,0.000333744,0.000333744
108,171.845,0.73775,0.77346,1.03511,0.7475,0.68096,0.71634,0.63959,0.70545,0.92596,1.05417,0.000326412,0.000326412,0.000326412
109,173.45,0.774,0.77668,1.04258,0.80787,0.64445,0.70716,0.62574,0.68849,0.94209,1.03549,0.000319079,0.000319079,0.000319079
110,175.061,0.71491,0.75067,1.03104,0.69277,0.68739,0.71983,0.63481,0.68817,0.92214,1.04905,0.000311747,0.000311747,0.000311747
111,176.681,0.71753,0.74876,1.0313,0.71824,0.71239,0.73414,0.652,0.65322,0.87359,1.02365,0.000304414,0.000304414,0.000304414
