epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
81,509.162,0.85501,0.6756,1.19693,0.07081,0.84568,0.84628,0.87061,0.67075,0.75632,0.68598,1.14442,0.06136,0.00050357,0.00050357,0.00050357
82,515.206,0.84889,0.66318,1.20514,0.06841,0.85908,0.84556,0.87676,0.68889,0.74431,0.68495,1.14682,0.06727,0.000492129,0.000492129,0.000492129
83,521.054,0.85479,0.66114,1.19083,0.06833,0.82283,0.84245,0.85992,0.67188,0.74306,0.70937,1.13651,0.06811,0.000480717,0.000480717,0.000480717
84,527.165,0.85377,0.67404,1.22525,0.06891,0.82892,0.84571,0.85516,0.6743,0.73419,0.70208,1.13182,0.07034,0.000469341,0.000469341,0.000469341
85,533.414,0.82169,0.6475,1.1884,0.06763,0.85281,0.81788,0.8599,0.66718,0.75436,0.71034,1.14372,0.07281,0.000458006,0.000458006,0.000458006
86,539.775,0.84665,0.64934,1.17415,0.06339,0.81455,0.8508,0.86217,0.67232,0.73485,0.68925,1.13654,0.06769,0.000446715,0.000446715,0.000446715
87,545.766,0.82419,0.64415,1.18744,0.06301,0.80141,0.87402,0.86438,0.68437,0.74887,0.69075,1.13745,0.07067,0.000435475,0.000435475,0.000435475
88,551.695,0.80671,0.62984,1.17268,0.06628,0.81548,0.85919,0.87314,0.68521,0.73384,0.68863,1.13629,0.07177,0.000424289,0.000424289,0.000424289
89,557.622,0.82148,0.63773,1.18051,0.06446,0.81214,0.87154,0.86126,0.67812,0.72847,0.68628,1.14108,0.06945,0.000413164,0.000413164,0.000413164
90,563.612,0.83092,0.65748,1.18068,0.06738,0.84321,0.85029,0.86605,0.6764,0.75153,0.68333,1.14941,0.06661,0.000402103,0.000402103,0.000402103
91,569.783,0.81385,0.63204,1.17698,0.06399,0.81044,0.85431,0.85707,0.66383,0.74673,0.70309,1.15204,0.0633,0.000391113,0.000391113,0.000391113
92,575.654,0.82133,0.63555,1.18425,0.06154,0.84034,0.80371,0.85012,0.67239,0.73662,0.7308,1.14311,0.0599,0.000380196,0.000380196,0.000380196
93,581.389,0.80467,0.62721,1.17592,0.06309,0.82293,0.86482,0.86144,0.68266,0.73802,0.70049,1.1422,0.06332,0.00036936,0.00036936,0.00036936
94,587.235,0.81081,0.64436,1.16989,0.06513,0.82101,0.85552,0.85984,0.67197,0.75261,0.71932,1.1345,0.07304,0.000358607,0.000358607,0.000358607
95,593.415,0.84154,0.65309,1.19438,0.06999,0.79815,0.85177,0.85779,0.66508,0.75138,0.71466,1.13702,0.06649,0.000347943,0.000347943,0.000347943
96,600.006,0.80524,0.61871,1.18441,0.06232,0.85481,0.84504,0.86343,0.67585,0.73427,0.6893,1.13361,0.06055,0.000337372,0.000337372,0.000337372
97,606.166,0.83211,0.63907,1.17135,0.06292,0.81853,0.87391,0.86498,0.67917,0.7484,0.69707,1.13607,0.06368,0.0003269,0.0003269,0.0003269
98,612.01,0.81701,0.63128,1.18231,0.06558,0.81378,0.85686,0.86645,0.67912,0.73253,0.69873,1.13804,0.06365,0.00031653,0.00031653,0.00031653
99,618.154,0.81845,0.6387,1.18332,0.07144,0.85575,0.83347,0.87649,0.68859,0.73292,0.6754,1.1409,0.0598,0.000306268,0.000306268,0.000306268
100,624.131,0.80298,0.61735,1.16485,0.06475,0.81467,0.85647,0.85696,0.68133,0.7278,0.69924,1.13589,0.05947,0.000296117,0.000296117,0.000296117
101,630.415,0.81516,0.63524,1.18951,0.06414,0.83247,0.82428,0.84596,0.66538,0.72847,0.72105,1.13833,0.06305,0.000286082,0.000286082,0.000286082
102,636.541,0.81806,0.64268,1.18791,0.06348,0.83915,0.84986,0.86489,0.68253,0.71229,0.68384,1.13289,0.06572,0.000276169,0.000276169,0.000276169
103,642.328,0.77899,0.60836,1.15744,0.06131,0.83313,0.85945,0.86096,0.68491,0.70678,0.68833,1.13143,0.06984,0.00026638,0.00026638,0.00026638
104,648.241,0.79458,0.61024,1.16626,0.06723,0.84227,0.84402,0.85943,0.67695,0.71172,0.6933,1.1337,0.07404,0.00025672,0.00025672,0.00025672
105,654.064,0.80256,0.61853,1.15381,0.06002,0.81559,0.86033,0.86147,0.67056,0.73801,0.6927,1.13879,0.06985,0.000247194,0.000247194,0.000247194
106,660.405,0.80022,0.61133,1.15863,0.05998,0.82117,0.88488,0.87338,0.68756,0.71587,0.67193,1.12567,0.07133,0.000237805,0.000237805,0.000237805
107,666.715,0.79857,0.61649,1.17288,0.0664,0.83357,0.86331,0.86159,0.6846,0.71139,0.67355,1.1179,0.06657,0.000228559,0.000228559,0.000228559
108,672.906,0.81077,0.6409,1.19506,0.06456,0.79879,0.88335,0.85862,0.68495,0.71931,0.70125,1.13717,0.06595,0.000219458,0.000219458,0.000219458
109,678.791,0.79935,0.60354,1.1552,0.06318,0.8358,0.86574,0.86924,0.69192,0.70812,0.66308,1.13089,0.06693,0.000210507,0.000210507,0.000210507
110,684.574,0.79789,0.62435,1.16157,0.06183,0.84413,0.87008,0.87637,0.69367,0.71663,0.65673,1.13651,0.06705,0.00020171,0.00020171,0.00020171
111,690.684,0.79778,0.618,1.16937,0.06026,0.85992,0.8338,0.86448,0.68234,0.72429,0.68844,1.14204,0.0668,0.00019307,0.00019307,0.00019307
112,696.936,0.80707,0.60907,1.15481,0.06031,0.84956,0.82408,0.86006,0.6809,0.7189,0.70018,1.13023,0.06294,0.000184592,0.000184592,0.000184592
113,702.834,0.76578,0.5733,1.13379,0.06108,0.84673,0.83561,0.86202,0.67429,0.72622,0.69412,1.13637,0.064,0.000176279,0.000176279,0.000176279
114,708.904,0.80185,0.62832,1.18499,0.06195,0.84632,0.8609,0.86844,0.68375,0.72479,0.67566,1.14104,0.06164,0.000168134,0.000168134,0.000168134
115,714.997,0.78225,0.59528,1.16492,0.06282,0.85957,0.85939,0.86788,0.677,0.74606,0.67604,1.15197,0.0618,0.000160162,0.000160162,0.000160162
116,721.195,0.80464,0.6174,1.17852,0.06495,0.8313,0.87669,0.86893,0.68498,0.7248,0.66472,1.14289,0.06069,0.000152366,0.000152366,0.000152366
117,727.571,0.79695,0.60793,1.16367,0.06183,0.8363,0.87185,0.87588,0.69481,0.70915,0.65943,1.13921,0.06078,0.000144749,0.000144749,0.000144749
118,733.856,0.80041,0.62238,1.16916,0.06136,0.82959,0.87196,0.87287,0.69332,0.71733,0.67527,1.13636,0.06198,0.000137315,0.000137315,0.000137315
119,739.914,0.77488,0.60339,1.17017,0.06142,0.84001,0.87257,0.87291,0.6941,0.71198,0.6731,1.13482,0.06085,0.000130067,0.000130067,0.000130067
120,745.994,0.80408,0.62446,1.17963,0.06218,0.83392,0.86691,0.862,0.68622,0.71431,0.67667,1.13647,0.06687,0.000123007,0.000123007,0.000123007
121,752.382,0.78456,0.60909,1.14999,0.06341,0.82751,0.8672,0.86714,0.6901,0.71637,0.69235,1.1367,0.06541,0.00011614,0.00011614,0.00011614
122,758.219,0.76968,0.59577,1.15477,0.05541,0.84019,0.85207,0.86616,0.68542,0.71594,0.69496,1.13676,0.064,0.000109468,0.000109468,0.000109468
123,764.492,0.79553,0.61129,1.17224,0.06323,0.82531,0.87328,0.86781,0.68413,0.71318,0.68996,1.13649,0.06177,0.000102994,0.000102994,0.000102994
124,770.399,0.79651,0.619,1.16612,0.05965,0.84615,0.84722,0.87213,0.68912,0.7113,0.6741,1.13941,0.06021,9.67211e-05,9.67211e-05,9.67211e-05
125,776.349,0.7866,0.60438,1.15924,0.06042,0.83883,0.86044,0.87021,0.68887,0.71002,0.67085,1.14051,0.06293,9.06517e-05,9.06517e-05,9.06517e-05
126,782.42,0.76814,0.59534,1.15456,0.0599,0.84665,0.84882,0.86244,0.69205,0.70352,0.675,1.13398,0.06371,8.47887e-05,8.47887e-05,8.47887e-05
127,788.206,0.77747,0.60357,1.16264,0.06662,0.83785,0.85485,0.86453,0.69199,0.70375,0.67292,1.12744,0.06598,7.91345e-05,7.91345e-05,7.91345e-05
128,794.287,0.78389,0.60475,1.16017,0.06203,0.83233,0.86207,0.87183,0.68956,0.71145,0.67037,1.12725,0.0641,7.36918e-05,7.36918e-05,7.36918e-05
129,801.063,0.77851,0.59333,1.14744,0.06062,0.82249,0.86942,0.87704,0.69268,0.71026,0.67289,1.12435,0.06366,6.84628e-05,6.84628e-05,6.84628e-05
130,807.609,0.75956,0.58395,1.13846,0.05832,0.82883,0.8717,0.8713,0.68814,0.71031,0.67574,1.12639,0.06544,6.34499e-05,6.34499e-05,6.34499e-05
131,813.876,0.76472,0.58487,1.13863,0.05759,0.85182,0.84421,0.86931,0.68757,0.70919,0.67894,1.12757,0.06597,5.86552e-05,5.86552e-05,5.86552e-05
132,820.329,0.75316,0.56885,1.13315,0.0585,0.84554,0.85735,0.86911,0.68901,0.70799,0.67308,1.12958,0.06522,5.4081e-05,5.4081e-05,5.4081e-05
133,826.782,0.7931,0.60227,1.15425,0.06149,0.84959,0.85406,0.87292,0.69019,0.70656,0.66903,1.12651,0.06543,4.97291e-05,4.97291e-05,4.97291e-05
134,832.773,0.76346,0.57671,1.13568,0.05724,0.84153,0.86666,0.87028,0.68965,0.7032,0.67305,1.12606,0.06415,4.56015e-05,4.56015e-05,4.56015e-05
135,838.745,0.77612,0.59092,1.15582,0.06144,0.85832,0.85092,0.86561,0.68732,0.69812,0.67413,1.12674,0.06298,4.16999e-05,4.16999e-05,4.16999e-05
136,844.662,0.78028,0.59291,1.16177,0.05932,0.86078,0.83937,0.86366,0.68566,0.69876,0.6783,1.12506,0.06162,3.80262e-05,3.80262e-05,3.80262e-05
137,850.547,0.77642,0.60038,1.14974,0.06168,0.84821,0.8396,0.8622,0.68591,0.70377,0.68775,1.12763,0.06178,3.45819e-05,3.45819e-05,3.45819e-05
138,857.044,0.75516,0.57941,1.13859,0.0565,0.85511,0.8355,0.86131,0.6836,0.7035,0.68888,1.12842,0.06115,3.13686e-05,3.13686e-05,3.13686e-05
139,863.219,0.77995,0.60427,1.16168,0.06165,0.84291,0.84226,0.85959,0.68237,0.70307,0.69358,1.12716,0.06102,2.83875e-05,2.83875e-05,2.83875e-05
140,869.555,0.77677,0.59619,1.16685,0.06219,0.8539,0.83372,0.86042,0.68388,0.70392,0.6927,1.13003,0.06061,2.56402e-05,2.56402e-05,2.56402e-05
141,887.978,0.69149,0.4984,1.13928,0.05265,0.84618,0.84984,0.8595,0.68076,0.71113,0.68882,1.1329,0.06045,2.31276e-05,2.31276e-05,2.31276e-05
142,892.948,0.69939,0.50162,1.12053,0.05318,0.83726,0.858,0.86041,0.68306,0.71556,0.68782,1.13523,0.06059,2.0851e-05,2.0851e-05,2.0851e-05
143,897.866,0.69922,0.49946,1.13052,0.04922,0.84252,0.8561,0.85916,0.68314,0.71613,0.68831,1.13338,0.06175,1.88114e-05,1.88114e-05,1.88114e-05
144,902.855,0.69261,0.50083,1.12494,0.0549,0.82306,0.86854,0.86023,0.68451,0.71567,0.68461,1.13249,0.06281,1.70096e-05,1.70096e-05,1.70096e-05
145,907.821,0.67977,0.49318,1.11272,0.05077,0.82304,0.87721,0.8627,0.68595,0.71578,0.68277,1.13233,0.06405,1.54465e-05,1.54465e-05,1.54465e-05
146,912.827,0.69507,0.49067,1.1179,0.04995,0.82533,0.87622,0.86217,0.6882,0.71377,0.67895,1.13061,0.06432,1.41227e-05,1.41227e-05,1.41227e-05
147,917.714,0.69117,0.49669,1.10867,0.05393,0.82559,0.87583,0.86302,0.68694,0.7148,0.67957,1.13095,0.06496,1.30387e-05,1.30387e-05,1.30387e-05
148,922.824,0.68806,0.50053,1.13348,0.0531,0.82247,0.87407,0.86237,0.68639,0.71537,0.68055,1.13153,0.06511,1.21952e-05,1.21952e-05,1.21952e-05
149,928.095,0.69118,0.49047,1.12547,0.04835,0.82295,0.87119,0.86203,0.68461,0.71674,0.68199,1.13124,0.0661,1.15924e-05,1.15924e-05,1.15924e-05
150,933.531,0.68896,0.48403,1.10276,0.05392,0.82312,0.87175,0.86325,0.68565,0.71481,0.68329,1.1307,0.06541,1.12306e-05,1.12306e-05,1.12306e-05
