epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,135.439,0.81105,0.81169,1.10215,0.60093,0.70417,0.67504,0.60698,0.74813,1.22628,1.1121,0.00081403,0.00081403,0.00081403
56,137.99,0.80828,0.81001,1.08451,0.64263,0.68952,0.71639,0.62804,0.75982,1.01016,1.09246,0.00080853,0.00080853,0.00080853
57,140.384,0.79671,0.7869,1.08932,0.71544,0.67712,0.71445,0.6286,0.74441,0.9172,1.08102,0.000803031,0.000803031,0.000803031
58,142.77,0.78289,0.81499,1.09638,0.87977,0.60494,0.68715,0.61538,0.73129,0.91819,1.05347,0.000797531,0.000797531,0.000797531
59,145.131,0.83413,0.79937,1.10831,0.79576,0.63317,0.66965,0.59232,0.72908,0.89024,1.06075,0.000792032,0.000792032,0.000792032
60,148.211,0.82182,0.81956,1.09154,0.79184,0.63351,0.70727,0.62721,0.71493,0.87834,1.06217,0.000786532,0.000786532,0.000786532
61,150.991,0.80439,0.82208,1.09665,0.75552,0.66395,0.70303,0.60339,0.73404,0.9082,1.05849,0.000781033,0.000781033,0.000781033
62,153.76,0.84366,0.82384,1.11121,0.75491,0.66912,0.70907,0.60952,0.75194,0.92814,1.09807,0.000775534,0.000775534,0.000775534
63,156.381,0.80645,0.83232,1.10579,0.68806,0.67683,0.6801,0.59071,0.71763,0.92709,1.0927,0.000770034,0.000770034,0.000770034
64,158.702,0.78954,0.77838,1.07263,0.65043,0.70525,0.69644,0.59632,0.71578,0.91193,1.08205,0.000764535,0.000764535,0.000764535
65,161.174,0.76416,0.74903,1.05824,0.85233,0.62869,0.72909,0.63771,0.74775,0.95918,1.10482,0.000759035,0.000759035,0.000759035
66,163.588,0.78269,0.79146,1.08494,0.72304,0.69118,0.73428,0.63954,0.71572,0.92809,1.08135,0.000753536,0.000753536,0.000753536
67,166.07,0.79451,0.76212,1.09393,0.70342,0.69301,0.70594,0.63012,0.68414,0.90776,1.05187,0.000748036,0.000748036,0.000748036
68,168.392,0.74188,0.7474,1.06613,0.78224,0.65672,0.68283,0.60144,0.70091,0.986,1.05498,0.000742537,0.000742537,0.000742537
69,170.732,0.77519,0.77773,1.08715,0.72149,0.6673,0.65219,0.57711,0.69508,0.90952,1.0333,0.000737037,0.000737037,0.000737037
70,173.108,0.77434,0.77979,1.0976,0.74398,0.66333,0.69572,0.61289,0.67867,0.88924,1.02672,0.000731538,0.000731538,0.000731538
71,175.724,0.82734,0.81895,1.11368,0.81699,0.66021,0.69693,0.63216,0.66154,0.96017,1.02054,0.000726038,0.000726038,0.000726038
